Country,Country_Code,Year,total_pop,pop_dens_sq_km,urban_pop_perc,rural_pop_perc,elect_access_pop,ren_energy_cons_perc,clean_fuel_tech_cook_pop,co2_emiss_excl_lulucf,Gini coefficient (2021 prices),perceptions of criminality,homicide rate,police rate,incarceration rate,Access to small arms,intensity of internal conflict,violent demonstrations,Violent crime,Political instability,Political Terror Scale,weapons imports,terrorism impact,deaths from internal conflict,internal conflicts fought,military expenditure (% gdp),armed services personnel rate,un peacekeeping funding,nuclear and heavy weapons,weapons exports,refugees and idps,Neighbouring countries relations,external conflicts fought,deaths From external conflict,overall score,internal peace,external peace,safety and security,ongoing conflict,militarisation,"Agriculture, forestry, and fishing, value added (% of GDP)",Adjusted savings: natural resources depletion (% of GNI),Adjusted savings: net forest depletion (% of GNI),Access to electricity (% of population),Adjusted savings: energy depletion (% of GNI),Adjusted savings: carbon dioxide damage (% of GNI),Access to clean fuels and technologies for cooking (% of population),"Agriculture, forestry, and fishing, value added (annual % growth)",gdp
Armenia,ARM,2008,3087100.0,108.4334387,63.64,36.36,99.2,6.4,94.9,5.6482,0.2918814,2.0,2.16,2.5,1.944,4.0,2.0,1.0,3.0,3.75,2.0,1.553,1.024,1.0,1.0,2.683,3.312,2.329,1.032,1.037,1.171,5.0,1.25,1.0,2.124,2.117,2.135,2.138,2.029,2.233,17.0,0.201529351,0.201529351,99.2,0.0,1.236159412,94.9,3.000000012,11662040713.8753
Armenia,ARM,2009,3066000.0,107.6923077,63.54,36.46,99.3,7.8,95.6,4.5018,0.2801588,2.1,2.147,2.5,1.944,4.0,2.0,1.0,3.0,3.75,2.5,1.556,1.024,1.0,1.0,2.683,3.312,2.329,1.032,1.037,1.182,5.0,1.375,1.0,2.157,2.164,2.147,2.206,2.041,2.233,19.0,0.347525102,0.327671638,99.3,0.0,1.382910224,95.6,5.922553817,8647937081.2562
Armenia,ARM,2010,3044800.0,106.9476642,63.44,36.56,99.8,9.4,96.1,4.2988,0.29992583,2.1,2.319,2.5,2.286,4.0,2.0,1.0,3.0,3.75,3.0,1.221,1.024,1.0,1.0,3.275,3.312,2.329,1.032,1.037,1.202,5.0,1.7,1.0,2.224,2.228,2.218,2.317,2.071,2.264,16.9,1.580880883,0.284005045,99.8,0.0,1.27621272,96.1,-15.90577663,9260285755.62424
Armenia,ARM,2011,3027900.0,106.3540569,63.34,36.66,99.5,8.0,96.6,4.9037,0.29352945,1.95,2.323,2.5,2.286,4.0,2.0,1.0,3.0,3.0,2.5,1.467,1.024,1.0,1.0,2.955,3.418,1.479,1.033,1.037,1.198,5.0,1.7,1.0,2.132,2.125,2.142,2.157,2.071,2.168,22.0,1.91609484,0.438087952,99.5,0.0,1.403062649,96.6,14.0,10142111824.5835
Armenia,ARM,2012,3024100.0,106.2205831,63.24,36.76,99.5,6.6,96.8,5.6692,0.29602262,2.1,1.956,2.5,2.214,4.0,2.0,1.0,3.0,3.25,2.5,1.492,1.024,1.0,1.0,2.864,3.41,1.0,1.033,1.0,1.186,5.0,1.7,1.0,2.111,2.121,2.096,2.149,2.071,2.096,17.91268195,0.97589994,0.339468858,99.5,0.0,1.609445196,96.8,9.500000009,10619320682.9474
Armenia,ARM,2013,3022000.0,106.1468212,63.164,36.836,99.4,6.8,97.1,5.4813,0.30579662,1.95,2.107,2.5,2.214,4.0,2.0,1.0,3.0,3.25,3.0,1.487,1.012,1.36,1.053,2.783,3.4,1.0,1.033,1.0,1.18,5.0,1.7,1.0,2.159,2.206,2.088,2.211,2.149,2.085,18.43476288,0.695341106,0.219209786,99.4,0.0,1.506179516,97.1,7.6,11121464437.0415
Armenia,ARM,2014,3013800.0,105.8587987,63.112,36.888,99.7,7.1,97.3,5.4722,0.3148329,1.85,2.056,2.5,2.048,3.0,2.0,1.0,2.5,3.25,2.5,1.563,1.0,1.04,1.105,2.969,3.3,1.041,1.033,1.0,1.135,5.0,1.7,1.0,2.042,2.01,2.091,2.058,2.09,1.932,18.07203635,0.265696168,0.230507586,99.7,0.0,1.520935306,97.3,6.100000006,11609513246.7958
Armenia,ARM,2015,3004600.0,105.5356516,63.085,36.915,100.0,10.7,97.5,5.3342,0.32356772,1.75,2.039,2.5,2.048,3.0,2.0,1.5,2.0,3.0,3.0,1.345,1.0,1.0,1.105,2.922,2.344,1.86,1.033,1.0,1.134,5.0,1.5,1.0,2.024,1.999,2.062,2.061,2.063,1.885,17.22312003,0.513002231,0.253862985,100.0,0.0,1.690868393,97.5,13.2,10553337518.414
Armenia,ARM,2016,2992300.0,105.1036178,63.082,36.918,99.8,13.2,97.6,5.0789,0.32547948,1.65,2.116,2.5,2.024,3.0,2.0,1.25,2.0,3.0,3.0,1.099,1.0,1.64,1.158,2.888,3.331,1.518,1.033,1.0,1.127,5.0,1.825,1.0,2.077,2.042,2.13,2.037,2.227,1.928,16.39047353,0.216780402,0.216780402,99.8,0.0,1.687223619,97.6,-4.999999999,10546136235.5219
Armenia,ARM,2017,2979400.0,104.6505093,63.103,36.897,99.7,12.6,97.7,5.3808,0.3362184,1.7,2.142,2.5,2.024,3.0,2.0,1.5,2.0,3.0,2.5,1.597,1.169,1.16,1.211,2.955,3.333,1.334,1.035,1.0,1.121,5.0,1.8,1.0,2.048,2.001,2.119,2.017,2.134,1.973,14.99426012,0.237460142,0.237460138,99.7,4.09e-09,1.683814236,97.7,-5.100000003,11527458709.0158
Armenia,ARM,2018,2969000.0,104.2852125,63.149,36.851,99.9,11.1,97.8,5.6947,0.344335,1.9,2.245,2.5,1.944,3.0,2.0,1.25,2.0,3.0,3.0,1.683,1.093,1.0,1.158,2.802,3.336,1.334,1.037,1.0,1.122,5.0,1.725,1.0,2.056,2.024,2.103,2.072,2.089,1.966,13.94231166,0.681367168,0.267995278,99.9,6.93e-09,1.76730643,97.8,-6.900000005,12457940694.7395
Armenia,ARM,2019,2962500.0,104.056902,63.219,36.781,100.0,10.3,97.9,6.182,0.30031213,1.45,2.1,2.5,1.944,3.0,2.0,1.75,2.0,2.875,2.5,1.608,1.049,1.04,1.105,2.969,3.34,1.0,1.036,1.0,1.125,5.0,1.9,1.0,2.018,1.959,2.106,1.983,2.108,1.938,11.52561074,1.194399133,0.249911437,100.0,4.66e-09,1.823364188,97.9,-5.8,13619290539.2116
Armenia,ARM,2020,2961500.0,104.0217773,63.313,36.687,100.0,8.4,97.9,6.7038,0.25131604,1.45,1.859,2.5,1.595,3.0,2.0,1.75,2.0,2.75,3.0,2.79,1.024,1.08,1.105,3.261,3.345,1.0,1.043,1.0,1.125,3.0,1.875,1.0,1.91,2.001,1.772,1.967,1.711,2.113,11.34980516,1.116232857,0.274493064,100.0,4.37e-09,1.905032431,97.9,-3.699999994,12641698583.2152
Austria,AUT,2008,8321496.0,100.8421716,57.966,42.034,100.0,29.7,100.0,74.5096,0.30437094,1.9,1.369,2.61,1.778,2.0,1.0,1.5,1.0,1.0,2.0,1.662,1.384,1.0,1.0,1.33,1.735,1.122,1.056,1.449,1.0,1.0,1.125,1.0,1.336,1.461,1.148,1.518,1.011,1.483,1.385041148,0.175748515,0.05830435,100.0,0.113084758,0.435718702,100.0,7.471720698,429234399096.173
Austria,AUT,2009,8343323.0,101.1066772,57.683,42.317,100.0,31.3,100.0,67.9079,0.31494907,1.9,1.271,2.604,1.778,2.0,1.0,1.5,1.0,1.25,2.0,1.907,1.384,1.0,1.0,1.33,1.637,1.122,1.056,1.486,1.0,1.0,1.25,1.0,1.352,1.484,1.155,1.535,1.023,1.507,1.176553064,0.118771524,0.040032911,100.0,0.077622956,0.44302437,100.0,-7.028675289,399290118782.429
Austria,AUT,2010,8363404.0,101.3500242,57.399,42.601,100.0,31.1,100.0,73.581,0.30251664,2.0,1.348,2.599,1.81,2.0,1.0,1.5,1.5,1.0,1.5,2.286,1.384,1.0,1.0,1.368,1.637,1.122,1.055,1.619,1.0,1.0,1.375,1.0,1.369,1.493,1.181,1.526,1.034,1.579,1.29288596,0.134346764,0.048457359,100.0,0.081246492,0.505448397,100.0,-6.005558512,389827789217.634
Austria,AUT,2011,8391643.0,101.6922322,57.115,42.885,100.0,31.6,100.0,71.9557,0.30801058,1.95,1.305,2.595,1.81,2.0,1.0,1.5,1.5,1.0,2.0,2.248,1.384,1.0,1.0,1.406,1.468,1.315,1.054,1.818,1.0,1.0,1.375,1.0,1.399,1.527,1.207,1.575,1.034,1.617,1.461306481,0.156884421,0.047946029,100.0,0.102713354,0.470143738,100.0,15.34891586,428954737064.057
Austria,AUT,2012,8429991.0,102.1569438,57.147,42.853,100.0,34.4,100.0,68.8985,0.30475616,1.75,1.364,2.644,1.802,2.0,1.0,1.5,1.5,1.0,1.5,2.245,1.384,1.0,1.0,1.378,1.469,1.266,1.053,1.783,1.0,1.0,1.5,1.0,1.371,1.479,1.208,1.509,1.046,1.601,1.417681343,0.168682443,0.041861693,100.0,0.121362431,0.493630015,100.0,-6.591107701,406750487603.59
Austria,AUT,2013,8479823.0,102.7608216,57.336,42.664,100.0,34.6,100.0,69.4999,0.30752906,1.7,1.458,2.651,1.802,2.0,1.0,1.5,1.0,1.0,1.0,1.808,1.219,1.0,1.0,1.373,1.412,1.217,1.052,1.638,1.0,1.0,1.5,1.0,1.299,1.375,1.184,1.389,1.046,1.511,1.277849921,0.149227841,0.040465079,100.0,0.102807587,0.49272921,100.0,-6.897684877,426580502769.417
Austria,AUT,2014,8546356.0,103.5670868,57.526,42.474,100.0,35.7,100.0,65.8761,0.30535373,1.7,1.48,2.648,1.802,2.0,1.0,1.5,1.0,1.0,1.0,1.502,1.12,1.0,1.0,1.382,1.411,1.198,1.051,1.679,1.0,1.0,1.5,1.0,1.291,1.36,1.188,1.386,1.046,1.481,1.275558018,0.135585374,0.040313412,100.0,0.092003386,0.471439612,100.0,7.990566944,438556021078.034
Austria,AUT,2015,8642699.0,104.7345977,57.715,42.285,100.0,34.8,100.0,67.2562,0.3053083,1.9,1.359,2.638,1.802,2.0,1.0,1.5,1.0,1.0,1.0,1.039,1.0,1.0,1.0,1.354,1.396,1.113,1.051,1.585,1.0,1.0,1.5,1.0,1.27,1.337,1.169,1.381,1.046,1.395,1.143628542,0.092315827,0.040715928,100.0,0.049958356,0.581431472,100.0,-4.210175688,379546097300.633
Austria,AUT,2016,8736668.0,105.8733398,57.905,42.095,100.0,34.6,100.0,67.6656,0.3079514,1.9,1.246,2.632,1.77,2.0,1.0,1.5,1.0,1.0,1.0,1.032,1.0,1.0,1.0,1.335,1.391,1.028,1.051,1.405,1.0,1.0,1.625,1.0,1.256,1.325,1.152,1.364,1.057,1.349,1.149282641,0.067795064,0.034813802,100.0,0.030894465,0.577767642,100.0,5.219899204,393687359770.273
Austria,AUT,2017,8797566.0,106.6113185,58.094,41.906,100.0,34.0,100.0,69.9541,0.2973693,2.0,1.254,2.617,1.77,2.0,1.0,2.0,1.0,1.0,1.5,1.043,1.785,1.0,1.0,1.349,1.376,1.426,1.053,1.292,1.0,1.0,1.6,1.0,1.329,1.438,1.166,1.522,1.055,1.378,1.199902031,0.07764201,0.033175587,100.0,0.041704775,0.596177045,100.0,-1.038179859,414926138132.691
Austria,AUT,2018,8840521.0,107.1318589,58.297,41.703,100.0,34.1,100.0,66.9575,0.3084742,1.9,1.309,2.655,1.778,2.0,1.0,1.5,1.0,1.0,1.0,1.049,1.559,1.0,1.0,1.363,1.373,1.457,1.053,1.287,1.0,1.0,1.525,1.0,1.279,1.356,1.163,1.407,1.048,1.383,1.10911414,0.100695375,0.045019619,100.0,0.055675757,0.548372051,100.0,2.848270966,452582294972.775
Austria,AUT,2019,8879920.0,107.6093068,58.515,41.485,100.0,34.0,100.0,68.5563,0.30210516,1.8,1.398,2.664,1.778,2.0,1.0,1.75,1.0,1.0,1.0,1.05,1.479,1.0,1.0,1.359,1.364,1.29,1.053,1.224,1.0,1.0,1.5,1.0,1.279,1.371,1.141,1.427,1.046,1.35,1.044634137,0.076995329,0.033315819,100.0,0.043679511,0.595751007,100.0,-1.447737547,442983642371.842
Austria,AUT,2020,8916864.0,108.0570044,58.748,41.252,100.0,35.8,100.0,62.6299,0.29800698,1.55,1.486,2.71,1.746,2.0,1.0,2.25,1.0,1.0,1.0,1.075,1.296,1.0,1.0,1.349,1.391,1.085,1.054,1.184,1.0,1.0,1.475,1.0,1.282,1.388,1.122,1.45,1.044,1.324,1.071381133,0.042082403,0.022769569,100.0,0.019312834,0.570601335,100.0,-3.068943221,434397601557.696
Belarus,BLR,2008,9527985.0,46.95855635,73.726,26.274,93.2,7.1,98.1,64.4619,0.27826044,3.15,4.029,2.67,4.635,3.0,3.0,2.25,2.0,2.875,3.0,1.211,2.683,1.0,1.0,1.473,2.141,1.23,2.139,1.508,1.017,3.0,1.0,1.0,2.242,2.63,1.661,2.799,1.805,1.885,8.666253694,0.953222849,0.0,93.2,0.953222849,2.708588239,98.1,8.606546141,60752106347.126
Belarus,BLR,2009,9504583.0,46.84414336,74.172,25.828,93.8,7.4,98.5,61.352,0.27689305,3.15,3.196,2.678,4.635,3.0,3.0,2.25,2.0,2.75,2.5,1.212,2.683,1.0,1.0,1.473,2.151,1.23,1.984,1.984,1.019,3.0,1.0,1.0,2.183,2.508,1.696,2.628,1.805,1.943,8.130898936,0.582971057,0.0,93.8,0.582971057,3.185754498,98.5,0.283387303,50873167326.0414
Belarus,BLR,2010,9483836.0,46.74096855,74.672,25.328,94.4,7.3,98.7,65.8561,0.285666,3.0,2.948,2.684,4.31,3.0,3.0,2.25,2.0,2.75,3.0,1.217,2.683,1.0,1.0,1.645,2.151,1.23,1.83,2.049,1.019,3.0,1.0,1.0,2.179,2.5,1.699,2.617,1.805,1.948,8.891930229,0.616456717,0.0,94.4,0.616456717,3.143808075,98.7,2.310162464,57231904542.8755
Belarus,BLR,2011,9461643.0,46.62975211,75.188,24.812,95.0,7.5,99.0,62.6977,0.2715255,2.65,2.78,2.688,4.31,3.0,3.0,2.25,2.0,3.25,2.5,1.208,2.683,1.0,1.0,1.588,2.182,1.31,1.675,2.359,1.02,3.0,1.0,1.0,2.166,2.463,1.719,2.566,1.805,1.981,8.001887744,0.923988874,0.0,95.0,0.923988874,2.85950494,99.0,7.391583899,61762382327.9319
Belarus,BLR,2012,9446836.0,46.5593029,75.697,24.303,95.6,7.2,99.2,63.98,0.26526198,2.4,2.556,2.691,3.417,3.0,3.0,2.25,2.0,3.25,2.5,1.114,2.683,1.0,1.0,1.325,2.174,1.8,1.52,2.52,1.021,3.0,1.0,1.0,2.115,2.369,1.736,2.44,1.805,1.997,8.130942683,0.833241769,0.0,95.6,0.833241769,2.9001729,99.2,6.079297931,65685890438.8922
Belarus,BLR,2013,9443211.0,46.53937252,76.199,23.801,96.2,7.0,99.3,64.1533,0.26575053,2.35,2.485,2.694,3.417,3.0,3.0,2.25,2.0,3.25,2.5,1.224,2.409,1.0,1.0,1.402,1.774,1.749,1.366,2.782,1.022,3.0,1.0,1.0,2.1,2.353,1.721,2.411,1.805,1.985,6.809092448,0.674665253,0.0,96.2,0.674665253,2.660967427,99.3,-3.596572006,75527558966.4473
Belarus,BLR,2014,9448515.0,46.55060033,76.693,23.307,96.8,6.7,99.4,63.6974,0.27176666,2.45,2.398,2.696,3.488,3.0,3.0,2.25,2.0,3.25,2.5,1.333,2.132,1.0,1.0,1.43,1.776,2.179,1.211,2.911,1.015,3.0,1.0,1.0,2.109,2.349,1.749,2.399,1.805,2.047,7.303056977,0.582752215,0.0,96.8,0.582752215,2.620567621,99.4,2.511304723,78812805039.0743
Belarus,BLR,2015,9461076.0,46.61133719,77.181,22.819,97.4,6.8,99.5,59.0118,0.25633225,2.5,2.38,2.696,3.488,3.0,3.0,2.25,2.0,3.25,3.0,1.425,1.847,1.0,1.0,1.507,1.77,2.624,1.087,3.082,1.015,3.0,1.0,1.0,2.147,2.385,1.791,2.443,1.805,2.127,6.283207583,0.360540198,0.0,97.4,0.360540198,3.526031473,99.5,-2.413696419,56454889146.6088
Belarus,BLR,2016,9469379.0,46.64994482,77.661,22.339,98.0,6.7,99.5,58.9515,0.25306615,2.5,2.397,2.694,3.929,3.0,3.0,1.0,2.0,3.375,2.5,1.567,1.612,1.0,1.0,1.473,1.769,1.603,1.089,3.024,1.014,3.0,1.0,1.0,2.064,2.3,1.71,2.316,1.805,2.01,6.895280624,0.3127029,0.0,98.0,0.3127029,4.35465872,99.5,3.93699142,47723545321.259
Belarus,BLR,2017,9458989.0,46.59875953,78.134,21.866,98.7,7.3,99.6,60.1134,0.2544457,2.45,2.359,2.692,3.929,3.0,3.0,1.5,2.0,3.0,2.0,1.632,1.0,1.0,1.0,1.507,1.768,1.402,1.117,3.176,1.013,3.0,1.0,1.0,2.024,2.228,1.717,2.212,1.805,2.029,7.565802538,0.402399786,0.0,98.7,0.402399786,3.978914333,99.6,4.399544297,54725302249.8088
Belarus,BLR,2018,9438785.0,46.50105922,78.595,21.405,99.3,7.2,99.7,63.4636,0.25240526,2.65,2.308,2.69,3.732,3.0,3.0,2.25,2.0,3.0,2.5,1.753,1.0,1.0,1.0,1.464,1.768,1.568,1.118,3.048,1.013,3.0,1.0,1.0,2.076,2.318,1.713,2.331,1.805,2.036,6.590107726,0.65818037,0.0,99.3,0.65818037,3.989858268,99.7,-3.44545367,60031173807.7196
Belarus,BLR,2019,9419758.0,46.41075062,79.044,20.956,100.0,7.8,99.7,61.3005,0.25277847,2.65,2.132,2.69,3.732,3.0,3.0,1.5,2.0,3.0,3.0,1.852,1.0,1.0,1.0,1.478,1.727,1.099,1.121,2.507,1.012,3.0,1.0,1.0,2.03,2.303,1.62,2.303,1.805,1.894,6.794668828,0.515174521,0.0,100.0,0.515174521,3.760379526,99.7,2.922714303,64410122847.3508
Belarus,BLR,2020,9379952.0,46.21121293,79.483,20.517,100.0,8.4,99.7,58.0941,0.24383356,2.45,2.096,2.693,3.732,3.0,3.0,1.0,2.0,3.0,3.0,2.247,1.0,1.0,1.0,1.483,1.73,1.066,1.125,2.465,1.012,3.0,1.0,1.0,2.009,2.272,1.614,2.237,1.805,1.931,7.077239769,0.292100099,0.0,100.0,0.292100099,4.062772404,99.7,4.75375455,61371755326.2351
Belgium,BEL,2008,10709973.0,353.079913,97.555,2.445,100.0,4.0,100.0,114.3278,0.2837373,2.35,2.256,2.847,1.73,2.0,1.0,1.0,2.0,1.0,1.5,1.293,1.177,1.0,1.0,1.478,1.574,1.667,1.196,1.8,1.0,1.0,1.4,1.0,1.441,1.562,1.259,1.681,1.037,1.589,0.712338067,0.017926606,0.017926606,100.0,0.0,0.541555161,100.0,0.609864831,517328087920.078
Belgium,BEL,2009,10796493.0,355.932252,97.603,2.397,100.0,4.9,100.0,107.0745,0.2855119,2.35,2.25,2.822,1.73,2.0,1.0,1.0,2.0,1.25,1.5,1.51,1.177,1.0,1.0,1.478,1.559,1.667,1.194,2.321,1.0,1.0,1.525,1.0,1.484,1.59,1.324,1.708,1.048,1.704,0.718679661,0.017000678,0.017000678,100.0,0.0,0.559204632,100.0,4.902516838,485014525992.461
Belgium,BEL,2010,10895586.0,359.1990901,97.651,2.349,100.0,6.2,100.0,114.6444,0.2837483,2.35,2.245,2.801,1.77,2.0,1.0,1.0,2.0,1.0,1.5,1.596,1.177,1.0,1.0,1.492,1.559,1.667,1.191,2.798,1.0,1.0,1.65,1.0,1.498,1.574,1.385,1.679,1.06,1.8,0.847918635,0.039809865,0.018994258,100.0,0.020815607,0.623937705,100.0,8.505389788,481556503720.001
