Country,Country_Code,Year,total_population,population_density_sq_km,urban_population_percent,rural_population_percent,electricity_access_percent,renewable_energy_consumption_percent,clean_fuel_tech_cooking_percent,co2_emissions_excl_lulucf,gdp
Armenia,ARM,2008,3087100.0,108.4334387,63.64,36.36,99.2,6.4,94.9,5.6482,11662040713.8753
Armenia,ARM,2009,3066000.0,107.6923077,63.54,36.46,99.3,7.8,95.6,4.5018,8647937081.2562
Armenia,ARM,2010,3044800.0,106.9476642,63.44,36.56,99.8,9.4,96.1,4.2988,9260285755.62424
Armenia,ARM,2011,3027900.0,106.3540569,63.34,36.66,99.5,8.0,96.6,4.9037,10142111824.5835
Armenia,ARM,2012,3024100.0,106.2205831,63.24,36.76,99.5,6.6,96.8,5.6692,10619320682.9474
Armenia,ARM,2013,3022000.0,106.1468212,63.164,36.836,99.4,6.8,97.1,5.4813,11121464437.0415
Armenia,ARM,2014,3013800.0,105.8587987,63.112,36.888,99.7,7.1,97.3,5.4722,11609513246.7958
Armenia,ARM,2015,3004600.0,105.5356516,63.085,36.915,100.0,10.7,97.5,5.3342,10553337518.414
Armenia,ARM,2016,2992300.0,105.1036178,63.082,36.918,99.8,13.2,97.6,5.0789,10546136235.5219
Armenia,ARM,2017,2979400.0,104.6505093,63.103,36.897,99.7,12.6,97.7,5.3808,11527458709.0158
Armenia,ARM,2018,2969000.0,104.2852125,63.149,36.851,99.9,11.1,97.8,5.6947,12457940694.7395
Armenia,ARM,2019,2962500.0,104.056902,63.219,36.781,100.0,10.3,97.9,6.182,13619290539.2116
Armenia,ARM,2020,2961500.0,104.0217773,63.313,36.687,100.0,8.4,97.9,6.7038,12641698583.2152
Austria,AUT,2008,8321496.0,100.8421716,57.966,42.034,100.0,29.7,100.0,74.5096,429234399096.173
Austria,AUT,2009,8343323.0,101.1066772,57.683,42.317,100.0,31.3,100.0,67.9079,399290118782.429
Austria,AUT,2010,8363404.0,101.3500242,57.399,42.601,100.0,31.1,100.0,73.581,389827789217.634
Austria,AUT,2011,8391643.0,101.6922322,57.115,42.885,100.0,31.6,100.0,71.9557,428954737064.057
Austria,AUT,2012,8429991.0,102.1569438,57.147,42.853,100.0,34.4,100.0,68.8985,406750487603.59
Austria,AUT,2013,8479823.0,102.7608216,57.336,42.664,100.0,34.6,100.0,69.4999,426580502769.417
Austria,AUT,2014,8546356.0,103.5670868,57.526,42.474,100.0,35.7,100.0,65.8761,438556021078.034
Austria,AUT,2015,8642699.0,104.7345977,57.715,42.285,100.0,34.8,100.0,67.2562,379546097300.633
Austria,AUT,2016,8736668.0,105.8733398,57.905,42.095,100.0,34.6,100.0,67.6656,393687359770.273
Austria,AUT,2017,8797566.0,106.6113185,58.094,41.906,100.0,34.0,100.0,69.9541,414926138132.691
Austria,AUT,2018,8840521.0,107.1318589,58.297,41.703,100.0,34.1,100.0,66.9575,452582294972.775
Austria,AUT,2019,8879920.0,107.6093068,58.515,41.485,100.0,34.0,100.0,68.5563,442983642371.842
