Country,Country_Code,Year,total_population,population_density_sq_km,urban_population_percent,rural_population_percent,electricity_access_percent,renewable_energy_consumption_percent,clean_fuel_tech_cooking_percent,co2_emissions_excl_lulucf
Armenia,ARM,2008,3087100,108.4334387,63.64,36.36,99.2,6.4,94.9,5.6482
Armenia,ARM,2009,3066000,107.6923077,63.54,36.46,99.3,7.8,95.6,4.5018
Armenia,ARM,2010,3044800,106.9476642,63.44,36.56,99.8,9.4,96.1,4.2988
Armenia,ARM,2011,3027900,106.3540569,63.34,36.66,99.5,8,96.6,4.9037
Armenia,ARM,2012,3024100,106.2205831,63.24,36.76,99.5,6.6,96.8,5.6692
Armenia,ARM,2013,3022000,106.1468212,63.164,36.836,99.4,6.8,97.1,5.4813
Armenia,ARM,2014,3013800,105.8587987,63.112,36.888,99.7,7.1,97.3,5.4722
Armenia,ARM,2015,3004600,105.5356516,63.085,36.915,100,10.7,97.5,5.3342
Armenia,ARM,2016,2992300,105.1036178,63.082,36.918,99.8,13.2,97.6,5.0789
Armenia,ARM,2017,2979400,104.6505093,63.103,36.897,99.7,12.6,97.7,5.3808
Armenia,ARM,2018,2969000,104.2852125,63.149,36.851,99.9,11.1,97.8,5.6947
Armenia,ARM,2019,2962500,104.056902,63.219,36.781,100,10.3,97.9,6.182
Armenia,ARM,2020,2961500,104.0217773,63.313,36.687,100,8.4,97.9,6.7038
Austria,AUT,2008,8321496,100.8421716,57.966,42.034,100,29.7,100,74.5096
Austria,AUT,2009,8343323,101.1066772,57.683,42.317,100,31.3,100,67.9079
Austria,AUT,2010,8363404,101.3500242,57.399,42.601,100,31.1,100,73.581
Austria,AUT,2011,8391643,101.6922322,57.115,42.885,100,31.6,100,71.9557
Austria,AUT,2012,8429991,102.1569438,57.147,42.853,100,34.4,100,68.8985
Austria,AUT,2013,8479823,102.7608216,57.336,42.664,100,34.6,100,69.4999
Austria,AUT,2014,8546356,103.5670868,57.526,42.474,100,35.7,100,65.8761
Austria,AUT,2015,8642699,104.7345977,57.715,42.285,100,34.8,100,67.2562
Austria,AUT,2016,8736668,105.8733398,57.905,42.095,100,34.6,100,67.6656
Austria,AUT,2017,8797566,106.6113185,58.094,41.906,100,34,100,69.9541
Austria,AUT,2018,8840521,107.1318589,58.297,41.703,100,34.1,100,66.9575
Austria,AUT,2019,8879920,107.6093068,58.515,41.485,100,34,100,68.5563
Austria,AUT,2020,8916864,108.0570044,58.748,41.252,100,35.8,100,62.6299
Belarus,BLR,2008,9527985,46.95855635,73.726,26.274,93.2,7.1,98.1,64.4619
Belarus,BLR,2009,9504583,46.84414336,74.172,25.828,93.8,7.4,98.5,61.352
Belarus,BLR,2010,9483836,46.74096855,74.672,25.328,94.4,7.3,98.7,65.8561
Belarus,BLR,2011,9461643,46.62975211,75.188,24.812,95,7.5,99,62.6977
Belarus,BLR,2012,9446836,46.5593029,75.697,24.303,95.6,7.2,99.2,63.98
Belarus,BLR,2013,9443211,46.53937252,76.199,23.801,96.2,7,99.3,64.1533
Belarus,BLR,2014,9448515,46.55060033,76.693,23.307,96.8,6.7,99.4,63.6974
Belarus,BLR,2015,9461076,46.61133719,77.181,22.819,97.4,6.8,99.5,59.0118
Belarus,BLR,2016,9469379,46.64994482,77.661,22.339,98,6.7,99.5,58.9515
Belarus,BLR,2017,9458989,46.59875953,78.134,21.866,98.7,7.3,99.6,60.1134
Belarus,BLR,2018,9438785,46.50105922,78.595,21.405,99.3,7.2,99.7,63.4636
Belarus,BLR,2019,9419758,46.41075062,79.044,20.956,100,7.8,99.7,61.3005
Belarus,BLR,2020,9379952,46.21121293,79.483,20.517,100,8.4,99.7,58.0941
Belgium,BEL,2008,10709973,353.079913,97.555,2.445,100,4,100,114.3278
Belgium,BEL,2009,10796493,355.932252,97.603,2.397,100,4.9,100,107.0745
Belgium,BEL,2010,10895586,359.1990901,97.651,2.349,100,6.2,100,114.6444
Belgium,BEL,2011,11038264,363.9028121,97.698,2.302,100,6.7,100,104.2439
Belgium,BEL,2012,11106932,366.1666172,97.744,2.256,100,7.7,100,102.773
Belgium,BEL,2013,11159407,367.8965813,97.789,2.211,100,8.3,100,104.1691
Belgium,BEL,2014,11209057,369.5334125,97.833,2.167,100,9.1,100,97.4685
Belgium,BEL,2015,11274196,371.6808756,97.876,2.124,100,9.4,100,102.0938
Belgium,BEL,2016,11331422,373.5674678,97.919,2.081,100,9.2,100,101.0047
Belgium,BEL,2017,11375158,375.0093298,97.961,2.039,100,9.7,100,99.4023
Belgium,BEL,2018,11427054,374.7435149,98.001,1.999,100,10.7,100,100.1343
Belgium,BEL,2019,11488980,376.761986,98.041,1.959,100,10.2,100,100.0509
Belgium,BEL,2020,11538604,378.3893225,98.079,1.921,100,12.3,100,92.3731
Brazil,BRA,2008,190367302,22.77627582,83.749,16.251,98.5,47,93.1,409.2582
Brazil,BRA,2009,192079951,22.98118373,84.044,15.956,98.9,48.9,93.4,382.7997
Brazil,BRA,2010,193701929,23.17524342,84.335,15.665,98.6,46.8,93.9,436.393
Brazil,BRA,2011,195284734,23.36461629,84.631,15.369,99.3,45.2,94.3,458.3598
Brazil,BRA,2012,196876111,23.55501475,84.923,15.077,99.5,43.5,94.7,495.2275
Brazil,BRA,2013,198478299,23.74670668,85.209,14.791,99.6,42.3,95.1,520.3719
Brazil,BRA,2014,200085127,23.93895376,85.492,14.508,99.7,41.7,95.4,545.1421
Brazil,BRA,2015,201675532,24.12923593,85.77,14.23,99.7,43.7,95.7,515.5152
Brazil,BRA,2016,203218114,24.31379637,86.042,13.958,99.7,45.4,95.8,480.8269
Brazil,BRA,2017,204703445,24.49150708,86.309,13.691,99.8,45.3,96.1,492.7353
Brazil,BRA,2018,206107261,24.65946502,86.569,13.431,99.7,46.9,96.2,468.764
Brazil,BRA,2019,207455459,24.82076862,86.824,13.176,99.8,47.5,96.4,468.014
Brazil,BRA,2020,208660842,24.96498527,87.073,12.927,99.7,50,96.4,447.6954
Canada,CAN,2008,33247298,3.708322375,80.578,19.422,100,21.6,100,580.5967
Canada,CAN,2009,33630069,3.751015717,80.758,19.242,100,22.2,100,547.2832
Canada,CAN,2010,34005902,3.792935211,80.937,19.063,100,21.4,100,563.41
Canada,CAN,2011,34339221,3.830112798,81.096,18.904,100,21.5,100,575.9768
Canada,CAN,2012,34713395,3.871847252,81.137,18.863,100,21.8,100,573.5173
Canada,CAN,2013,35080992,3.912848123,81.178,18.822,100,22.2,100,582.6315
Canada,CAN,2014,35434066,3.952229134,81.218,18.782,100,22.2,100,588.8153
Canada,CAN,2015,35704498,3.982392458,81.259,18.741,100,22.3,100,585.6989
Canada,CAN,2016,36110803,4.027710725,81.3,18.7,100,22.1,100,584.0312
Canada,CAN,2017,36545075,4.076148363,81.35,18.65,100,22.8,100,595.0612
Canada,CAN,2018,37072620,4.134989443,81.411,18.589,100,22.3,100,606.8575
Canada,CAN,2019,37618495,4.195875007,81.482,18.518,100,22.4,100,593.9794
Canada,CAN,2020,38028638,4.241621355,81.562,18.438,100,23.9,100,544.9676
China,CHN,2008,1324655000,141.0977052,46.539,53.461,98.8,14.1,52.7,7774.9554
China,CHN,2009,1331260000,141.8012441,47.88,52.12,99.1,13.4,55.2,8340.2013
China,CHN,2010,1337705000,142.4877434,49.226,50.774,99.7,12.3,57.4,9124.9114
China,CHN,2011,1345035000,143.2685098,50.511,49.489,99.9,11.3,60.1,9975.9314
China,CHN,2012,1354190000,144.243669,51.765,48.235,99.9,11.5,62.9,10288.8595
China,CHN,2013,1363240000,145.2076439,53.013,46.987,100,11.5,65.8,10782.993
China,CHN,2014,1371860000,146.1258167,54.259,45.741,100,11.9,68.8,10909.7228
China,CHN,2015,1379860000,146.9779493,55.5,44.5,100,12.2,71.5,10768.9819
